Time,IsCompatible,Score,Drop_Position_X,Drop_Position_Y,Drop_Position_Z
24.8,False,0,0.747,0.169,-2.108
30.08,True,1,0.764,0.01199999,-1.398134
36.72,False,1,1.617,0.023,-1.502
46.12,True,2,-0.933,0.18,-1.63
73.14,False,2,-0.358,0.646,1.884
160.14,True,3,-1.774203,0.146,-1.631
160.16,False,3,-2.017,0.377,-1.481
167.28,True,4,-1.928,0,-1.564
174.74,True,5,-0.497,0.05599999,-1.792
